Start date;End date;grid load [MWh] Calculated resolutions;Grid load incl. hydro pumped storage [MWh] Calculated resolutions;Hydro pumped storage [MWh] Calculated resolutions;Residual load [MWh] Calculated resolutions
Sep 10, 2026 11:00 PM;Sep 11, 2026 12:00 AM;48,589.97;48,656.06;66.09;42,567.58
Sep 11, 2026 12:00 AM;Sep 11, 2026 1:00 AM;46,909.28;46,931.52;22.24;39,593.28
Sep 11, 2026 1:00 AM;Sep 11, 2026 2:00 AM;45,840.06;46,199.27;359.21;37,285.08
Sep 11, 2026 2:00 AM;Sep 11, 2026 3:00 AM;45,001.96;45,814.16;812.19;35,266.68
Sep 11, 2026 3:00 AM;Sep 11, 2026 4:00 AM;45,524.53;46,600.11;1,075.58;35,627.67
Sep 11, 2026 4:00 AM;Sep 11, 2026 5:00 AM;45,993.10;47,050.44;1,057.35;35,957.26
Sep 11, 2026 5:00 AM;Sep 11, 2026 6:00 AM;48,745.02;48,963.34;218.32;38,831.60
Sep 11, 2026 6:00 AM;Sep 11, 2026 7:00 AM;55,081.16;55,099.60;18.44;45,040.52
Sep 11, 2026 7:00 AM;Sep 11, 2026 8:00 AM;58,023.60;58,035.34;11.74;45,749.84
Sep 11, 2026 8:00 AM;Sep 11, 2026 9:00 AM;60,878.64;60,888.29;9.65;41,525.47
Sep 11, 2026 9:00 AM;Sep 11, 2026 10:00 AM;62,582.43;62,731.77;149.34;34,052.54
Sep 11, 2026 10:00 AM;Sep 11, 2026 11:00 AM;62,186.45;63,799.63;1,613.18;23,157.40
Sep 11, 2026 11:00 AM;Sep 11, 2026 12:00 PM;60,198.37;64,416.69;4,218.32;12,833.07
Sep 11, 2026 12:00 PM;Sep 11, 2026 1:00 PM;57,552.27;61,981.80;4,429.53;7,350.16
Sep 11, 2026 1:00 PM;Sep 11, 2026 2:00 PM;56,533.49;61,219.31;4,685.82;5,866.93
Sep 11, 2026 2:00 PM;Sep 11, 2026 3:00 PM;55,180.87;59,268.59;4,087.73;7,043.82
