Start date;End date;grid load [MWh] Calculated resolutions;Grid load incl. hydro pumped storage [MWh] Calculated resolutions;Hydro pumped storage [MWh] Calculated resolutions;Residual load [MWh] Calculated resolutions
May 31, 2026 11:00 PM;Jun 1, 2026 12:00 AM;41,211.50;41,226.96;15.46;35,118.33
Jun 1, 2026 12:00 AM;Jun 1, 2026 1:00 AM;38,963.85;38,977.79;13.94;32,613.34
Jun 1, 2026 1:00 AM;Jun 1, 2026 2:00 AM;37,056.34;37,080.53;24.19;30,886.81
Jun 1, 2026 2:00 AM;Jun 1, 2026 3:00 AM;36,613.26;36,650.28;37.02;30,624.56
Jun 1, 2026 3:00 AM;Jun 1, 2026 4:00 AM;37,433.26;37,482.47;49.21;31,464.74
Jun 1, 2026 4:00 AM;Jun 1, 2026 5:00 AM;38,533.51;38,580.83;47.32;32,623.07
Jun 1, 2026 5:00 AM;Jun 1, 2026 6:00 AM;41,760.34;41,794.62;34.28;35,404.46
Jun 1, 2026 6:00 AM;Jun 1, 2026 7:00 AM;48,945.30;48,953.76;8.46;40,459.45
Jun 1, 2026 7:00 AM;Jun 1, 2026 8:00 AM;53,925.19;53,932.86;7.67;40,949.68
Jun 1, 2026 8:00 AM;Jun 1, 2026 9:00 AM;56,206.08;56,221.43;15.35;35,289.76
Jun 1, 2026 9:00 AM;Jun 1, 2026 10:00 AM;56,700.68;56,899.61;198.93;26,386.32
Jun 1, 2026 10:00 AM;Jun 1, 2026 11:00 AM;56,521.79;59,236.68;2,714.88;17,897.67
Jun 1, 2026 11:00 AM;Jun 1, 2026 12:00 PM;56,610.60;61,087.15;4,476.55;11,977.17
Jun 1, 2026 12:00 PM;Jun 1, 2026 1:00 PM;56,065.28;61,081.09;5,015.81;8,387.39
Jun 1, 2026 1:00 PM;Jun 1, 2026 2:00 PM;55,557.75;60,392.99;4,835.24;6,745.86
Jun 1, 2026 2:00 PM;Jun 1, 2026 3:00 PM;54,665.42;59,575.39;4,909.96;6,593.82
Jun 1, 2026 3:00 PM;Jun 1, 2026 4:00 PM;53,858.86;58,520.14;4,661.28;9,401.77
Jun 1, 2026 4:00 PM;Jun 1, 2026 5:00 PM;53,535.70;56,591.62;3,055.93;15,111.84
Jun 1, 2026 5:00 PM;Jun 1, 2026 6:00 PM;53,490.97;54,243.60;752.63;23,915.41
Jun 1, 2026 6:00 PM;Jun 1, 2026 7:00 PM;54,659.92;54,684.81;24.90;35,749.72
Jun 1, 2026 7:00 PM;Jun 1, 2026 8:00 PM;55,375.91;55,449.89;73.98;46,165.40
Jun 1, 2026 8:00 PM;Jun 1, 2026 9:00 PM;54,318.47;54,324.29;5.82;50,702.35
Jun 1, 2026 9:00 PM;Jun 1, 2026 10:00 PM;52,572.13;52,578.25;6.12;50,541.82
Jun 1, 2026 10:00 PM;Jun 1, 2026 11:00 PM;50,011.56;50,017.67;6.10;47,607.79
Jun 1, 2026 11:00 PM;Jun 2, 2026 12:00 AM;46,411.36;46,467.20;55.84;42,383.71
Jun 2, 2026 12:00 AM;Jun 2, 2026 1:00 AM;44,498.92;44,530.24;31.32;38,354.53
Jun 2, 2026 1:00 AM;Jun 2, 2026 2:00 AM;42,923.94;42,978.76;54.82;34,462.24
Jun 2, 2026 2:00 AM;Jun 2, 2026 3:00 AM;41,985.49;42,174.61;189.11;32,148.32
Jun 2, 2026 3:00 AM;Jun 2, 2026 4:00 AM;42,069.43;42,297.54;228.12;31,632.56
Jun 2, 2026 4:00 AM;Jun 2, 2026 5:00 AM;42,882.28;43,116.75;234.47;32,125.82
Jun 2, 2026 5:00 AM;Jun 2, 2026 6:00 AM;45,497.80;45,697.31;199.51;33,129.74
Jun 2, 2026 6:00 AM;Jun 2, 2026 7:00 AM;51,746.66;51,848.50;101.84;34,879.61
Jun 2, 2026 7:00 AM;Jun 2, 2026 8:00 AM;56,218.29;56,352.44;134.15;33,156.33
Jun 2, 2026 8:00 AM;Jun 2, 2026 9:00 AM;58,199.25;58,288.09;88.84;27,706.81
Jun 2, 2026 9:00 AM;Jun 2, 2026 10:00 AM;58,223.31;59,552.38;1,329.07;19,610.31
Jun 2, 2026 10:00 AM;Jun 2, 2026 11:00 AM;57,455.76;60,263.49;2,807.73;12,396.10
Jun 2, 2026 11:00 AM;Jun 2, 2026 12:00 PM;57,116.87;60,424.82;3,307.95;8,876.71
Jun 2, 2026 12:00 PM;Jun 2, 2026 1:00 PM;57,117.35;61,473.58;4,356.23;6,151.14
Jun 2, 2026 1:00 PM;Jun 2, 2026 2:00 PM;57,109.39;61,950.60;4,841.21;6,386.05
Jun 2, 2026 2:00 PM;Jun 2, 2026 3:00 PM;56,119.28;60,982.51;4,863.23;7,421.28
Jun 2, 2026 3:00 PM;Jun 2, 2026 4:00 PM;55,579.39;59,675.07;4,095.67;12,162.78
Jun 2, 2026 4:00 PM;Jun 2, 2026 5:00 PM;57,223.60;59,289.63;2,066.03;20,010.86
Jun 2, 2026 5:00 PM;Jun 2, 2026 6:00 PM;58,354.93;58,570.74;215.81;29,398.37
Jun 2, 2026 6:00 PM;Jun 2, 2026 7:00 PM;58,965.60;58,977.02;11.42;36,101.78
Jun 2, 2026 7:00 PM;Jun 2, 2026 8:00 PM;58,791.20;58,794.20;2.99;39,789.90
Jun 2, 2026 8:00 PM;Jun 2, 2026 9:00 PM;57,927.45;57,930.33;2.88;41,397.95
Jun 2, 2026 9:00 PM;Jun 2, 2026 10:00 PM;55,424.54;55,425.92;1.38;39,298.81
Jun 2, 2026 10:00 PM;Jun 2, 2026 11:00 PM;52,203.60;52,215.77;12.17;34,513.45
Jun 2, 2026 11:00 PM;Jun 3, 2026 12:00 AM;49,463.78;49,615.23;151.45;30,186.93
Jun 3, 2026 12:00 AM;Jun 3, 2026 1:00 AM;46,047.28;46,151.40;104.11;26,635.08
Jun 3, 2026 1:00 AM;Jun 3, 2026 2:00 AM;44,468.92;44,516.19;47.27;26,270.16
Jun 3, 2026 2:00 AM;Jun 3, 2026 3:00 AM;43,063.43;43,107.88;44.45;26,094.43
Jun 3, 2026 3:00 AM;Jun 3, 2026 4:00 AM;43,034.18;43,078.70;44.51;26,240.53
Jun 3, 2026 4:00 AM;Jun 3, 2026 5:00 AM;44,288.22;44,332.99;44.76;27,536.09
Jun 3, 2026 5:00 AM;Jun 3, 2026 6:00 AM;47,442.92;47,482.03;39.11;29,675.68
Jun 3, 2026 6:00 AM;Jun 3, 2026 7:00 AM;53,811.53;53,831.02;19.49;34,024.25
Jun 3, 2026 7:00 AM;Jun 3, 2026 8:00 AM;57,942.28;57,950.48;8.20;35,103.24
Jun 3, 2026 8:00 AM;Jun 3, 2026 9:00 AM;60,885.02;60,915.65;30.63;32,489.61
Jun 3, 2026 9:00 AM;Jun 3, 2026 10:00 AM;60,827.76;61,133.68;305.92;24,763.32
Jun 3, 2026 10:00 AM;Jun 3, 2026 11:00 AM;59,544.29;61,382.41;1,838.12;15,486.88
Jun 3, 2026 11:00 AM;Jun 3, 2026 12:00 PM;58,989.66;63,327.93;4,338.27;8,899.39
Jun 3, 2026 12:00 PM;Jun 3, 2026 1:00 PM;58,025.97;62,954.94;4,928.97;5,292.44
Jun 3, 2026 1:00 PM;Jun 3, 2026 2:00 PM;56,118.56;61,344.92;5,226.36;2,577.89
Jun 3, 2026 2:00 PM;Jun 3, 2026 3:00 PM;55,261.51;60,404.99;5,143.49;2,145.87
Jun 3, 2026 3:00 PM;Jun 3, 2026 4:00 PM;54,108.56;59,263.23;5,154.68;4,048.99
Jun 3, 2026 4:00 PM;Jun 3, 2026 5:00 PM;53,358.29;57,682.61;4,324.32;7,259.59
Jun 3, 2026 5:00 PM;Jun 3, 2026 6:00 PM;53,507.66;55,312.07;1,804.40;12,596.55
Jun 3, 2026 6:00 PM;Jun 3, 2026 7:00 PM;54,844.47;55,050.52;206.05;21,934.08
Jun 3, 2026 7:00 PM;Jun 3, 2026 8:00 PM;54,875.01;54,882.15;7.15;32,059.97
Jun 3, 2026 8:00 PM;Jun 3, 2026 9:00 PM;53,583.09;53,589.29;6.20;35,427.09
Jun 3, 2026 9:00 PM;Jun 3, 2026 10:00 PM;51,412.96;51,478.81;65.86;29,736.63
Jun 3, 2026 10:00 PM;Jun 3, 2026 11:00 PM;49,637.93;49,954.33;316.40;23,169.42
Jun 3, 2026 11:00 PM;Jun 4, 2026 12:00 AM;47,047.81;47,587.56;539.75;17,239.91
Jun 4, 2026 12:00 AM;Jun 4, 2026 1:00 AM;44,844.99;45,631.78;786.79;11,911.63
Jun 4, 2026 1:00 AM;Jun 4, 2026 2:00 AM;43,249.36;44,920.28;1,670.92;9,804.47
Jun 4, 2026 2:00 AM;Jun 4, 2026 3:00 AM;41,667.84;44,344.16;2,676.32;8,713.11
Jun 4, 2026 3:00 AM;Jun 4, 2026 4:00 AM;41,706.16;44,180.66;2,474.50;9,306.06
Jun 4, 2026 4:00 AM;Jun 4, 2026 5:00 AM;41,887.02;44,067.55;2,180.53;11,319.14
Jun 4, 2026 5:00 AM;Jun 4, 2026 6:00 AM;42,315.47;44,140.31;1,824.84;12,384.74
Jun 4, 2026 6:00 AM;Jun 4, 2026 7:00 AM;43,508.09;44,464.06;955.97;10,999.36
Jun 4, 2026 7:00 AM;Jun 4, 2026 8:00 AM;45,765.92;46,331.08;565.17;8,639.79
Jun 4, 2026 8:00 AM;Jun 4, 2026 9:00 AM;48,141.99;49,567.66;1,425.67;4,013.22
Jun 4, 2026 9:00 AM;Jun 4, 2026 10:00 AM;50,853.11;54,657.44;3,804.33;457.05
Jun 4, 2026 10:00 AM;Jun 4, 2026 11:00 AM;51,991.03;56,759.20;4,768.17;-2,305.83
Jun 4, 2026 11:00 AM;Jun 4, 2026 12:00 PM;52,537.18;57,470.50;4,933.32;-2,355.56
Jun 4, 2026 12:00 PM;Jun 4, 2026 1:00 PM;51,789.87;56,863.77;5,073.90;-3,653.36
Jun 4, 2026 1:00 PM;Jun 4, 2026 2:00 PM;50,799.41;56,088.95;5,289.54;-5,015.10
Jun 4, 2026 2:00 PM;Jun 4, 2026 3:00 PM;49,502.14;54,610.90;5,108.76;-2,961.01
Jun 4, 2026 3:00 PM;Jun 4, 2026 4:00 PM;49,583.77;54,329.43;4,745.66;-1,547.82
Jun 4, 2026 4:00 PM;Jun 4, 2026 5:00 PM;50,479.51;53,520.39;3,040.88;3,171.88
Jun 4, 2026 5:00 PM;Jun 4, 2026 6:00 PM;50,363.96;51,711.17;1,347.21;7,231.91
Jun 4, 2026 6:00 PM;Jun 4, 2026 7:00 PM;50,696.02;50,944.15;248.13;12,573.37
Jun 4, 2026 7:00 PM;Jun 4, 2026 8:00 PM;51,525.60;51,532.81;7.21;18,657.06
Jun 4, 2026 8:00 PM;Jun 4, 2026 9:00 PM;50,540.90;50,547.77;6.86;22,152.47
Jun 4, 2026 9:00 PM;Jun 4, 2026 10:00 PM;48,856.14;48,864.68;8.55;22,193.06
Jun 4, 2026 10:00 PM;Jun 4, 2026 11:00 PM;47,754.01;47,768.04;14.03;20,486.04
Jun 4, 2026 11:00 PM;Jun 5, 2026 12:00 AM;44,512.50;44,562.05;49.55;16,149.69
Jun 5, 2026 12:00 AM;Jun 5, 2026 1:00 AM;41,837.14;42,074.16;237.02;13,375.54
Jun 5, 2026 1:00 AM;Jun 5, 2026 2:00 AM;40,320.12;41,052.37;732.25;11,673.14
Jun 5, 2026 2:00 AM;Jun 5, 2026 3:00 AM;39,489.72;40,668.64;1,178.93;10,639.75
Jun 5, 2026 3:00 AM;Jun 5, 2026 4:00 AM;38,583.89;39,624.76;1,040.87;10,890.19
Jun 5, 2026 4:00 AM;Jun 5, 2026 5:00 AM;38,984.95;39,280.70;295.74;12,820.29
Jun 5, 2026 5:00 AM;Jun 5, 2026 6:00 AM;41,205.50;41,289.81;84.30;16,438.01
Jun 5, 2026 6:00 AM;Jun 5, 2026 7:00 AM;45,961.65;46,005.03;43.38;20,851.02
Jun 5, 2026 7:00 AM;Jun 5, 2026 8:00 AM;50,656.96;50,669.59;12.64;24,041.21
Jun 5, 2026 8:00 AM;Jun 5, 2026 9:00 AM;53,897.33;53,908.64;11.31;22,760.14
Jun 5, 2026 9:00 AM;Jun 5, 2026 10:00 AM;54,556.64;54,567.45;10.81;16,004.17
Jun 5, 2026 10:00 AM;Jun 5, 2026 11:00 AM;54,534.99;56,117.89;1,582.90;8,223.32
Jun 5, 2026 11:00 AM;Jun 5, 2026 12:00 PM;53,698.91;57,837.28;4,138.37;1,663.83
Jun 5, 2026 12:00 PM;Jun 5, 2026 1:00 PM;51,935.84;56,595.56;4,659.71;-2,161.97
