Start date;End date;Biomass [MWh] Calculated resolutions;Hydropower [MWh] Calculated resolutions;Wind offshore [MWh] Calculated resolutions;Wind onshore [MWh] Calculated resolutions;Photovoltaics [MWh] Calculated resolutions;Other renewable [MWh] Calculated resolutions;Nuclear [MWh] Calculated resolutions;Lignite [MWh] Calculated resolutions;Hard coal [MWh] Calculated resolutions;Fossil gas [MWh] Calculated resolutions;Hydro pumped storage [MWh] Calculated resolutions;Other conventional [MWh] Calculated resolutions
Sep 10, 2026 11:00 PM;Sep 11, 2026 12:00 AM;3,724.50;1,184.68;3,890.11;2,132.28;0.00;90.46;-;11,456.84;4,837.90;9,659.19;354.78;1,870.11
Sep 11, 2026 12:00 AM;Sep 11, 2026 1:00 AM;3,594.61;1,139.50;3,903.28;3,412.72;0.00;90.46;-;11,882.33;4,875.83;9,261.12;29.49;1,364.02
Sep 11, 2026 1:00 AM;Sep 11, 2026 2:00 AM;3,551.13;1,128.18;3,869.21;4,685.77;0.00;90.46;-;12,103.53;4,940.50;8,269.98;14.78;1,355.37
Sep 11, 2026 2:00 AM;Sep 11, 2026 3:00 AM;3,529.92;1,130.49;3,987.87;5,747.41;0.00;90.46;-;12,096.45;4,917.62;7,870.30;9.71;1,415.65
Sep 11, 2026 3:00 AM;Sep 11, 2026 4:00 AM;3,529.54;1,129.78;3,873.42;6,023.44;0.00;90.46;-;12,149.95;4,827.35;7,800.66;9.89;1,441.93
Sep 11, 2026 4:00 AM;Sep 11, 2026 5:00 AM;3,542.85;1,116.33;3,764.39;6,271.45;0.00;90.46;-;12,116.40;4,759.33;8,132.31;9.78;1,447.50
Sep 11, 2026 5:00 AM;Sep 11, 2026 6:00 AM;3,624.87;1,128.97;3,755.20;6,158.22;0.00;90.46;-;12,180.88;4,948.76;8,780.11;53.59;1,499.15
Sep 11, 2026 6:00 AM;Sep 11, 2026 7:00 AM;3,852.88;1,129.00;3,988.48;6,029.16;22.99;90.46;-;12,177.96;5,224.43;9,584.27;855.32;1,529.71
Sep 11, 2026 7:00 AM;Sep 11, 2026 8:00 AM;4,000.52;1,247.03;3,476.25;6,503.13;2,294.37;84.64;-;12,173.44;5,171.61;9,376.71;2,926.16;1,511.44
Sep 11, 2026 8:00 AM;Sep 11, 2026 9:00 AM;3,994.14;1,253.17;3,566.88;6,407.75;9,378.54;69.72;-;12,194.37;5,075.76;8,916.72;2,672.76;1,490.42
Sep 11, 2026 9:00 AM;Sep 11, 2026 10:00 AM;3,852.10;1,263.52;4,079.13;5,064.28;19,386.47;88.99;-;12,178.03;4,766.73;6,568.79;738.79;1,486.96
Sep 11, 2026 10:00 AM;Sep 11, 2026 11:00 AM;3,685.84;1,157.95;4,072.09;3,597.78;31,359.18;85.40;-;11,674.56;4,211.44;3,912.56;31.57;1,451.79
Sep 11, 2026 11:00 AM;Sep 11, 2026 12:00 PM;3,568.09;1,161.79;3,637.40;3,866.01;39,861.89;82.95;-;10,426.92;3,558.46;2,676.20;16.24;1,460.23
Sep 11, 2026 12:00 PM;Sep 11, 2026 1:00 PM;3,491.37;1,130.95;3,149.07;5,001.09;42,051.95;96.55;-;8,684.20;3,072.56;2,341.33;9.32;1,456.89
Sep 11, 2026 1:00 PM;Sep 11, 2026 2:00 PM;3,468.26;1,074.58;3,019.22;5,825.94;41,821.40;103.69;-;8,087.13;3,022.33;2,241.91;8.80;1,455.94
Sep 11, 2026 2:00 PM;Sep 11, 2026 3:00 PM;3,470.25;1,071.62;2,374.28;6,555.54;39,207.24;103.69;-;7,766.52;3,233.82;2,290.28;12.05;1,436.70
Sep 11, 2026 3:00 PM;Sep 11, 2026 4:00 PM;3,477.79;1,101.67;1,820.27;6,923.29;33,475.38;103.69;-;9,628.91;3,417.86;2,373.39;33.07;1,391.65
Sep 11, 2026 4:00 PM;Sep 11, 2026 5:00 PM;3,707.43;1,173.28;1,560.28;6,260.27;24,701.63;103.69;-;11,019.08;4,512.64;3,126.97;405.58;1,439.54
Sep 11, 2026 5:00 PM;Sep 11, 2026 6:00 PM;4,089.70;1,163.32;1,441.19;4,936.68;14,951.61;96.66;-;11,764.01;5,137.63;6,718.39;1,185.49;1,520.62
Sep 11, 2026 6:00 PM;Sep 11, 2026 7:00 PM;4,269.84;1,129.41;1,608.51;3,974.29;5,611.58;91.42;-;12,148.15;5,483.92;8,255.97;3,240.03;1,559.00
Sep 11, 2026 7:00 PM;Sep 11, 2026 8:00 PM;4,263.73;1,283.16;1,939.17;3,039.63;538.84;90.46;-;12,257.87;5,574.95;8,362.56;5,352.53;1,577.45
Sep 11, 2026 8:00 PM;Sep 11, 2026 9:00 PM;4,229.88;1,392.63;2,047.12;2,463.00;0.07;90.46;-;12,240.95;5,575.72;8,398.52;4,996.01;1,582.35
Sep 11, 2026 9:00 PM;Sep 11, 2026 10:00 PM;4,182.66;1,257.77;2,070.69;2,837.33;0.00;90.46;-;12,238.37;5,574.32;8,346.75;4,016.40;1,556.90
Sep 11, 2026 10:00 PM;Sep 11, 2026 11:00 PM;4,020.75;1,250.34;1,479.61;3,118.02;0.00;90.46;-;12,222.14;5,272.24;8,237.96;3,377.82;1,544.64
Sep 11, 2026 11:00 PM;Sep 12, 2026 12:00 AM;3,890.67;1,307.25;1,049.64;3,264.13;0.00;87.12;-;12,207.96;4,802.42;8,072.79;1,174.23;1,534.02
Sep 12, 2026 12:00 AM;Sep 12, 2026 1:00 AM;3,773.24;1,162.38;831.97;3,392.72;0.00;80.42;-;12,200.87;4,263.67;6,633.47;1,508.62;1,332.85
Sep 12, 2026 1:00 AM;Sep 12, 2026 2:00 AM;3,739.38;1,083.18;860.41;2,703.14;0.00;72.59;-;12,192.52;4,228.28;6,008.54;788.13;1,361.25
Sep 12, 2026 2:00 AM;Sep 12, 2026 3:00 AM;3,722.75;1,136.58;982.59;2,417.38;0.00;69.72;-;12,204.45;4,137.50;5,321.58;1,240.30;1,473.16
Sep 12, 2026 3:00 AM;Sep 12, 2026 4:00 AM;3,728.76;1,046.00;1,101.80;2,269.60;0.00;74.67;-;12,194.77;4,139.52;4,907.78;564.57;1,438.14
Sep 12, 2026 4:00 AM;Sep 12, 2026 5:00 AM;3,748.49;1,010.34;1,134.72;2,007.26;0.00;90.46;-;12,217.38;4,133.65;4,932.60;238.74;1,401.81
Sep 12, 2026 5:00 AM;Sep 12, 2026 6:00 AM;3,812.90;1,009.08;1,021.99;1,919.90;0.00;90.46;-;12,316.58;4,147.92;4,626.00;724.26;1,397.07
Sep 12, 2026 6:00 AM;Sep 12, 2026 7:00 AM;4,055.39;1,122.44;1,075.89;1,948.78;17.26;90.46;-;12,356.39;4,176.92;4,310.16;1,359.42;1,405.72
Sep 12, 2026 7:00 AM;Sep 12, 2026 8:00 AM;4,209.08;1,085.29;930.65;2,319.68;2,193.76;90.46;-;12,425.14;4,214.77;4,353.46;1,012.39;1,403.36
Sep 12, 2026 8:00 AM;Sep 12, 2026 9:00 AM;4,196.13;1,169.67;1,088.92;2,387.04;9,822.06;90.46;-;12,182.14;4,206.51;3,471.22;320.60;1,384.74
Sep 12, 2026 9:00 AM;Sep 12, 2026 10:00 AM;4,050.66;1,141.30;1,584.02;1,715.97;20,617.01;90.46;-;9,663.75;3,706.80;1,852.12;43.35;1,359.83
Sep 12, 2026 10:00 AM;Sep 12, 2026 11:00 AM;3,877.57;1,159.49;2,456.53;2,133.34;31,760.01;90.46;-;6,549.46;1,958.32;1,487.52;8.36;1,360.88
Sep 12, 2026 11:00 AM;Sep 12, 2026 12:00 PM;3,771.90;1,287.98;2,420.35;3,201.80;38,607.14;90.46;-;4,769.96;1,260.00;1,372.72;37.38;1,381.90
Sep 12, 2026 12:00 PM;Sep 12, 2026 1:00 PM;3,678.92;1,423.46;2,934.44;3,895.18;40,910.16;90.46;-;4,291.67;1,166.79;1,345.35;54.22;1,321.88
Sep 12, 2026 1:00 PM;Sep 12, 2026 2:00 PM;3,651.78;1,312.09;3,432.62;4,382.97;38,790.72;90.46;-;4,285.31;1,048.21;1,340.69;32.28;1,316.04
Sep 12, 2026 2:00 PM;Sep 12, 2026 3:00 PM;3,651.84;1,218.26;3,538.18;4,506.78;34,657.92;90.46;-;4,536.61;1,066.90;1,435.18;12.12;1,357.78
Sep 12, 2026 3:00 PM;Sep 12, 2026 4:00 PM;3,689.16;1,250.61;3,601.64;5,218.59;30,621.98;90.46;-;4,450.19;1,409.84;1,547.36;39.61;1,395.42
Sep 12, 2026 4:00 PM;Sep 12, 2026 5:00 PM;3,818.94;1,263.97;4,331.88;6,675.55;23,993.42;90.46;-;5,356.44;2,100.27;1,742.27;80.72;1,415.36
Sep 12, 2026 5:00 PM;Sep 12, 2026 6:00 PM;4,034.80;1,219.59;4,545.16;6,519.70;14,771.41;90.46;-;7,377.23;3,204.59;2,695.21;341.05;1,424.27
Sep 12, 2026 6:00 PM;Sep 12, 2026 7:00 PM;4,274.72;1,195.92;4,380.20;5,824.28;5,232.04;90.46;-;9,706.34;4,051.99;4,043.90;2,247.00;1,413.33
Sep 12, 2026 7:00 PM;Sep 12, 2026 8:00 PM;4,356.82;1,189.79;4,352.24;6,429.35;418.79;90.46;-;10,659.78;4,291.15;4,879.13;4,165.91;1,454.63
Sep 12, 2026 8:00 PM;Sep 12, 2026 9:00 PM;4,302.85;1,288.40;3,969.55;6,113.54;0.01;90.46;-;10,711.60;4,382.24;5,572.46;4,808.49;1,484.83
Sep 12, 2026 9:00 PM;Sep 12, 2026 10:00 PM;4,226.89;1,272.67;3,756.33;8,153.90;0.00;90.46;-;10,881.58;4,328.38;5,906.07;4,078.79;1,445.29
Sep 12, 2026 10:00 PM;Sep 12, 2026 11:00 PM;4,065.25;1,143.08;3,500.49;8,912.30;0.00;90.46;-;10,684.95;4,360.15;5,856.20;1,951.30;1,434.91
