Start date;End date;Biomass [MWh] Calculated resolutions;Hydropower [MWh] Calculated resolutions;Wind offshore [MWh] Calculated resolutions;Wind onshore [MWh] Calculated resolutions;Photovoltaics [MWh] Calculated resolutions;Other renewable [MWh] Calculated resolutions;Nuclear [MWh] Calculated resolutions;Lignite [MWh] Calculated resolutions;Hard coal [MWh] Calculated resolutions;Fossil gas [MWh] Calculated resolutions;Hydro pumped storage [MWh] Calculated resolutions;Other conventional [MWh] Calculated resolutions
May 31, 2026 11:00 PM;Jun 1, 2026 12:00 AM;3,911.02;1,838.50;70.83;5,978.55;43.79;99.04;-;7,058.85;2,288.94;4,952.35;2,486.20;1,496.50
Jun 1, 2026 12:00 AM;Jun 1, 2026 1:00 AM;3,608.81;1,812.13;139.68;6,160.88;49.95;100.10;-;7,049.13;2,268.09;4,885.43;1,464.09;1,577.54
Jun 1, 2026 1:00 AM;Jun 1, 2026 2:00 AM;3,589.79;1,581.26;202.35;5,943.91;23.28;100.37;-;7,067.65;2,271.46;4,988.24;493.84;1,443.36
Jun 1, 2026 2:00 AM;Jun 1, 2026 3:00 AM;3,528.64;1,627.17;343.33;5,623.70;21.66;100.61;-;7,119.71;2,268.47;5,010.83;129.49;1,343.90
Jun 1, 2026 3:00 AM;Jun 1, 2026 4:00 AM;3,497.55;1,583.76;503.17;5,442.49;22.86;99.84;-;7,201.44;2,263.35;5,058.67;19.29;1,360.77
Jun 1, 2026 4:00 AM;Jun 1, 2026 5:00 AM;3,561.98;1,594.42;506.60;5,379.13;24.71;99.93;-;7,186.41;2,263.53;5,106.68;74.10;1,362.12
Jun 1, 2026 5:00 AM;Jun 1, 2026 6:00 AM;3,750.03;1,606.04;511.20;5,353.16;491.52;100.59;-;7,289.63;2,270.31;5,235.75;315.76;1,387.19
Jun 1, 2026 6:00 AM;Jun 1, 2026 7:00 AM;4,054.11;2,010.53;334.07;4,653.75;3,498.03;101.82;-;7,396.08;2,309.37;5,366.19;3,775.61;1,380.52
Jun 1, 2026 7:00 AM;Jun 1, 2026 8:00 AM;4,124.42;1,885.69;187.36;3,008.22;9,779.93;103.18;-;7,323.74;2,323.68;5,360.96;4,313.49;1,375.52
Jun 1, 2026 8:00 AM;Jun 1, 2026 9:00 AM;3,886.73;1,806.23;109.89;1,867.93;18,938.50;104.82;-;7,152.39;2,336.16;4,951.20;2,285.75;1,394.47
Jun 1, 2026 9:00 AM;Jun 1, 2026 10:00 AM;3,540.09;1,726.97;77.84;1,745.55;28,490.97;104.92;-;6,891.54;2,312.61;3,941.12;377.23;1,401.16
Jun 1, 2026 10:00 AM;Jun 1, 2026 11:00 AM;3,194.70;1,732.26;201.36;1,719.14;36,703.63;104.37;-;5,446.85;2,098.23;3,103.23;50.70;1,371.89
Jun 1, 2026 11:00 AM;Jun 1, 2026 12:00 PM;3,116.79;1,735.73;320.82;1,743.04;42,569.57;103.15;-;5,146.55;1,462.10;2,637.59;11.81;1,396.48
Jun 1, 2026 12:00 PM;Jun 1, 2026 1:00 PM;3,127.70;1,550.31;317.30;1,975.79;45,384.80;102.74;-;4,629.47;1,005.24;2,408.35;12.96;1,472.06
Jun 1, 2026 1:00 PM;Jun 1, 2026 2:00 PM;3,098.96;1,542.89;464.11;2,244.85;46,102.94;103.83;-;4,164.88;1,106.76;2,372.63;28.24;1,486.86
Jun 1, 2026 2:00 PM;Jun 1, 2026 3:00 PM;3,101.39;1,638.18;531.40;2,530.94;45,009.27;101.13;-;4,104.91;1,213.74;2,381.34;6.16;1,487.17
