Start date,Residual load [MWh] Calculated resolutions,action
2026-08-30 23:00:00,34907.37,discharge
2026-08-31 00:00:00,33449.11,discharge
2026-08-31 01:00:00,31297.23,discharge
2026-08-31 02:00:00,28193.62,hold
2026-08-31 03:00:00,25890.17,hold
2026-08-31 04:00:00,24077.76,hold
2026-08-31 05:00:00,24529.09,hold
2026-08-31 06:00:00,28742.31,hold
2026-08-31 07:00:00,30141.83,discharge
2026-08-31 08:00:00,25052.07,hold
2026-08-31 09:00:00,13582.04,hold
2026-08-31 10:00:00,3252.25,hold
2026-08-31 11:00:00,-3569.66,charge
2026-08-31 12:00:00,-3357.08,charge
2026-08-31 13:00:00,-5914.93,charge
2026-08-31 14:00:00,-6170.59,charge
2026-08-31 15:00:00,-3754.11,charge
2026-08-31 16:00:00,-309.33,charge
2026-08-31 17:00:00,6731.0,hold
2026-08-31 18:00:00,17334.3,hold
2026-08-31 19:00:00,24275.62,hold
2026-08-31 20:00:00,23249.23,hold
2026-08-31 21:00:00,19800.21,hold
2026-08-31 22:00:00,17210.31,hold
2026-08-31 23:00:00,14744.69,hold
2026-09-01 00:00:00,12319.54,hold
2026-09-01 01:00:00,12417.4,hold
2026-09-01 02:00:00,14036.14,hold
2026-09-01 03:00:00,15329.02,hold
2026-09-01 04:00:00,17561.13,hold
2026-09-01 05:00:00,21178.94,hold
2026-09-01 06:00:00,26983.73,hold
2026-09-01 07:00:00,27708.4,hold
2026-09-01 08:00:00,24006.94,hold
2026-09-01 09:00:00,14873.0,hold
2026-09-01 10:00:00,4394.53,hold
2026-09-01 11:00:00,-2655.48,charge
2026-09-01 12:00:00,-5660.54,charge
2026-09-01 13:00:00,-5856.23,charge
2026-09-01 14:00:00,-4978.8,charge
2026-09-01 15:00:00,-1848.08,charge
2026-09-01 16:00:00,4809.81,hold
2026-09-01 17:00:00,14886.01,hold
2026-09-01 18:00:00,27688.92,hold
2026-09-01 19:00:00,37787.75,discharge
2026-09-01 20:00:00,40212.45,discharge
2026-09-01 21:00:00,38537.75,discharge
2026-09-01 22:00:00,36607.47,discharge
2026-09-01 23:00:00,35341.49,discharge
2026-09-02 00:00:00,33565.7,discharge
2026-09-02 01:00:00,32962.26,discharge
2026-09-02 02:00:00,32334.48,discharge
2026-09-02 03:00:00,32194.78,discharge
2026-09-02 04:00:00,33942.57,discharge
2026-09-02 05:00:00,36963.36,discharge
2026-09-02 06:00:00,41786.81,discharge
2026-09-02 07:00:00,41539.64,discharge
2026-09-02 08:00:00,36742.54,discharge
2026-09-02 09:00:00,29169.29,hold
2026-09-02 10:00:00,19162.66,hold
2026-09-02 11:00:00,9731.14,hold
2026-09-02 12:00:00,2949.04,hold
2026-09-02 13:00:00,2451.91,hold
2026-09-02 14:00:00,2819.17,hold
2026-09-02 15:00:00,6973.0,hold
2026-09-02 16:00:00,14432.43,hold
2026-09-02 17:00:00,26314.42,hold
2026-09-02 18:00:00,38723.94,discharge
2026-09-02 19:00:00,46012.92,discharge
2026-09-02 20:00:00,47238.88,discharge
2026-09-02 21:00:00,44525.46,discharge
2026-09-02 22:00:00,40396.39,discharge
2026-09-02 23:00:00,36515.92,discharge
2026-09-03 00:00:00,32555.35,discharge
2026-09-03 01:00:00,28827.66,hold
2026-09-03 02:00:00,25699.71,hold
2026-09-03 03:00:00,25919.84,hold
2026-09-03 04:00:00,26517.26,hold
2026-09-03 05:00:00,27204.75,hold
2026-09-03 06:00:00,28669.76,hold
2026-09-03 07:00:00,25461.05,hold
2026-09-03 08:00:00,18653.64,hold
2026-09-03 09:00:00,11198.34,hold
2026-09-03 10:00:00,3970.14,hold
2026-09-03 11:00:00,-811.62,charge
2026-09-03 12:00:00,-3316.13,charge
2026-09-03 13:00:00,-2570.85,charge
2026-09-03 14:00:00,-3384.1,charge
2026-09-03 15:00:00,-2067.54,charge
2026-09-03 16:00:00,2420.33,hold
2026-09-03 17:00:00,8013.71,hold
2026-09-03 18:00:00,17183.29,hold
2026-09-03 19:00:00,23278.16,hold
2026-09-03 20:00:00,26085.43,hold
2026-09-03 21:00:00,22669.95,hold
2026-09-03 22:00:00,19279.98,hold
2026-09-03 23:00:00,17646.47,hold
2026-09-04 00:00:00,16548.93,hold
2026-09-04 01:00:00,16035.07,hold
2026-09-04 02:00:00,15390.02,hold
2026-09-04 03:00:00,15639.02,hold
2026-09-04 04:00:00,15996.78,hold
2026-09-04 05:00:00,19018.59,hold
2026-09-04 06:00:00,22365.4,hold
2026-09-04 07:00:00,22181.32,hold
2026-09-04 08:00:00,17579.49,hold
2026-09-04 09:00:00,9643.81,hold
2026-09-04 10:00:00,361.87,hold
2026-09-04 11:00:00,-7403.46,charge
2026-09-04 12:00:00,-5978.14,charge
2026-09-04 13:00:00,-6610.86,charge
2026-09-04 14:00:00,-3790.5,charge
2026-09-04 15:00:00,-3059.07,charge
2026-09-04 16:00:00,-2950.26,charge
2026-09-04 17:00:00,-1257.94,charge
2026-09-04 18:00:00,3582.39,hold
2026-09-04 19:00:00,11291.05,hold
2026-09-04 20:00:00,12372.43,hold
2026-09-04 21:00:00,10818.0,hold
2026-09-04 22:00:00,9959.45,hold
2026-09-04 23:00:00,8804.47,hold
2026-09-05 00:00:00,8920.74,hold
2026-09-05 01:00:00,9325.77,hold
2026-09-05 02:00:00,9823.67,hold
2026-09-05 03:00:00,9939.05,hold
2026-09-05 04:00:00,8890.74,hold
