Start date;End date;grid load [MWh] Calculated resolutions;Grid load incl. hydro pumped storage [MWh] Calculated resolutions;Hydro pumped storage [MWh] Calculated resolutions;Residual load [MWh] Calculated resolutions
Aug 30, 2026 11:00 PM;Aug 31, 2026 12:00 AM;40,453.73;40,465.06;11.33;34,907.37
Aug 31, 2026 12:00 AM;Aug 31, 2026 1:00 AM;39,226.49;39,238.54;12.04;33,449.11
Aug 31, 2026 1:00 AM;Aug 31, 2026 2:00 AM;38,122.95;38,142.39;19.44;31,297.23
Aug 31, 2026 2:00 AM;Aug 31, 2026 3:00 AM;37,619.25;37,738.99;119.74;28,193.62
Aug 31, 2026 3:00 AM;Aug 31, 2026 4:00 AM;38,691.08;39,346.87;655.79;25,890.17
Aug 31, 2026 4:00 AM;Aug 31, 2026 5:00 AM;39,408.73;39,824.28;415.56;24,077.76
Aug 31, 2026 5:00 AM;Aug 31, 2026 6:00 AM;42,506.84;42,674.31;167.47;24,529.09
Aug 31, 2026 6:00 AM;Aug 31, 2026 7:00 AM;49,297.38;49,310.49;13.11;28,742.31
Aug 31, 2026 7:00 AM;Aug 31, 2026 8:00 AM;54,686.04;54,835.49;149.46;30,141.83
Aug 31, 2026 8:00 AM;Aug 31, 2026 9:00 AM;58,371.31;58,547.07;175.76;25,052.07
Aug 31, 2026 9:00 AM;Aug 31, 2026 10:00 AM;58,329.41;59,012.83;683.42;13,582.04
Aug 31, 2026 10:00 AM;Aug 31, 2026 11:00 AM;58,482.38;62,235.05;3,752.67;3,252.25
Aug 31, 2026 11:00 AM;Aug 31, 2026 12:00 PM;59,353.32;64,587.47;5,234.15;-3,569.66
Aug 31, 2026 12:00 PM;Aug 31, 2026 1:00 PM;59,965.29;65,450.31;5,485.02;-3,357.08
Aug 31, 2026 1:00 PM;Aug 31, 2026 2:00 PM;58,719.04;64,246.90;5,527.86;-5,914.93
Aug 31, 2026 2:00 PM;Aug 31, 2026 3:00 PM;56,679.32;62,332.06;5,652.74;-6,170.59
Aug 31, 2026 3:00 PM;Aug 31, 2026 4:00 PM;55,830.04;61,229.52;5,399.48;-3,754.11
Aug 31, 2026 4:00 PM;Aug 31, 2026 5:00 PM;54,941.83;59,903.71;4,961.88;-309.33
Aug 31, 2026 5:00 PM;Aug 31, 2026 6:00 PM;54,426.61;58,316.73;3,890.12;6,731.00
Aug 31, 2026 6:00 PM;Aug 31, 2026 7:00 PM;55,309.60;56,710.87;1,401.27;17,334.30
Aug 31, 2026 7:00 PM;Aug 31, 2026 8:00 PM;54,317.13;54,340.64;23.51;24,275.62
Aug 31, 2026 8:00 PM;Aug 31, 2026 9:00 PM;51,450.88;51,461.18;10.30;23,249.23
Aug 31, 2026 9:00 PM;Aug 31, 2026 10:00 PM;48,087.01;48,097.06;10.04;19,800.21
Aug 31, 2026 10:00 PM;Aug 31, 2026 11:00 PM;45,330.10;45,349.56;19.46;17,210.31
Aug 31, 2026 11:00 PM;Sep 1, 2026 12:00 AM;43,149.29;43,428.25;278.95;14,744.69
Sep 1, 2026 12:00 AM;Sep 1, 2026 1:00 AM;41,409.27;41,522.00;112.73;12,319.54
Sep 1, 2026 1:00 AM;Sep 1, 2026 2:00 AM;40,429.25;40,629.37;200.12;12,417.40
Sep 1, 2026 2:00 AM;Sep 1, 2026 3:00 AM;40,787.85;41,637.03;849.18;14,036.14
Sep 1, 2026 3:00 AM;Sep 1, 2026 4:00 AM;40,431.11;41,162.10;730.99;15,329.02
Sep 1, 2026 4:00 AM;Sep 1, 2026 5:00 AM;41,177.45;41,731.38;553.93;17,561.13
Sep 1, 2026 5:00 AM;Sep 1, 2026 6:00 AM;44,058.37;44,413.65;355.28;21,178.94
Sep 1, 2026 6:00 AM;Sep 1, 2026 7:00 AM;49,296.65;49,348.60;51.95;26,983.73
Sep 1, 2026 7:00 AM;Sep 1, 2026 8:00 AM;52,702.91;52,712.49;9.58;27,708.40
Sep 1, 2026 8:00 AM;Sep 1, 2026 9:00 AM;57,030.40;57,143.93;113.53;24,006.94
Sep 1, 2026 9:00 AM;Sep 1, 2026 10:00 AM;59,112.31;59,765.31;653.00;14,873.00
Sep 1, 2026 10:00 AM;Sep 1, 2026 11:00 AM;59,134.42;62,394.94;3,260.52;4,394.53
Sep 1, 2026 11:00 AM;Sep 1, 2026 12:00 PM;59,313.02;63,887.17;4,574.14;-2,655.48
Sep 1, 2026 12:00 PM;Sep 1, 2026 1:00 PM;58,998.65;64,112.11;5,113.47;-5,660.54
Sep 1, 2026 1:00 PM;Sep 1, 2026 2:00 PM;58,661.61;63,739.02;5,077.40;-5,856.23
Sep 1, 2026 2:00 PM;Sep 1, 2026 3:00 PM;57,102.43;60,889.49;3,787.06;-4,978.80
Sep 1, 2026 3:00 PM;Sep 1, 2026 4:00 PM;55,784.94;59,084.19;3,299.25;-1,848.08
Sep 1, 2026 4:00 PM;Sep 1, 2026 5:00 PM;55,099.70;57,818.49;2,718.79;4,809.81
Sep 1, 2026 5:00 PM;Sep 1, 2026 6:00 PM;56,234.68;58,070.25;1,835.57;14,886.01
Sep 1, 2026 6:00 PM;Sep 1, 2026 7:00 PM;56,433.68;56,871.62;437.94;27,688.92
Sep 1, 2026 7:00 PM;Sep 1, 2026 8:00 PM;56,285.77;56,298.36;12.58;37,787.75
Sep 1, 2026 8:00 PM;Sep 1, 2026 9:00 PM;55,812.40;55,816.96;4.56;40,212.45
Sep 1, 2026 9:00 PM;Sep 1, 2026 10:00 PM;53,075.97;53,080.21;4.24;38,537.75
Sep 1, 2026 10:00 PM;Sep 1, 2026 11:00 PM;49,911.87;49,920.76;8.89;36,607.47
Sep 1, 2026 11:00 PM;Sep 2, 2026 12:00 AM;47,316.74;47,330.88;14.14;35,341.49
Sep 2, 2026 12:00 AM;Sep 2, 2026 1:00 AM;44,995.36;45,010.22;14.86;33,565.70
Sep 2, 2026 1:00 AM;Sep 2, 2026 2:00 AM;43,694.52;44,140.14;445.62;32,962.26
Sep 2, 2026 2:00 AM;Sep 2, 2026 3:00 AM;42,913.03;43,382.45;469.43;32,334.48
Sep 2, 2026 3:00 AM;Sep 2, 2026 4:00 AM;42,797.72;43,719.86;922.14;32,194.78
Sep 2, 2026 4:00 AM;Sep 2, 2026 5:00 AM;44,322.28;45,822.92;1,500.64;33,942.57
Sep 2, 2026 5:00 AM;Sep 2, 2026 6:00 AM;47,144.38;47,919.91;775.53;36,963.36
Sep 2, 2026 6:00 AM;Sep 2, 2026 7:00 AM;52,873.48;52,882.62;9.14;41,786.81
Sep 2, 2026 7:00 AM;Sep 2, 2026 8:00 AM;57,250.46;57,257.68;7.22;41,539.64
Sep 2, 2026 8:00 AM;Sep 2, 2026 9:00 AM;60,315.11;60,331.42;16.31;36,742.54
Sep 2, 2026 9:00 AM;Sep 2, 2026 10:00 AM;61,646.43;61,821.67;175.24;29,169.29
Sep 2, 2026 10:00 AM;Sep 2, 2026 11:00 AM;61,941.74;64,228.37;2,286.63;19,162.66
Sep 2, 2026 11:00 AM;Sep 2, 2026 12:00 PM;60,322.59;64,895.41;4,572.82;9,731.14
Sep 2, 2026 12:00 PM;Sep 2, 2026 1:00 PM;57,809.70;62,474.90;4,665.21;2,949.04
Sep 2, 2026 1:00 PM;Sep 2, 2026 2:00 PM;58,247.22;62,970.94;4,723.72;2,451.91
Sep 2, 2026 2:00 PM;Sep 2, 2026 3:00 PM;56,621.86;60,838.80;4,216.94;2,819.17
Sep 2, 2026 3:00 PM;Sep 2, 2026 4:00 PM;55,958.84;59,810.24;3,851.40;6,973.00
Sep 2, 2026 4:00 PM;Sep 2, 2026 5:00 PM;55,470.25;57,766.02;2,295.77;14,432.43
Sep 2, 2026 5:00 PM;Sep 2, 2026 6:00 PM;56,297.86;56,972.46;674.60;26,314.42
Sep 2, 2026 6:00 PM;Sep 2, 2026 7:00 PM;57,136.03;57,167.94;31.91;38,723.94
Sep 2, 2026 7:00 PM;Sep 2, 2026 8:00 PM;55,965.99;55,976.32;10.33;46,012.92
Sep 2, 2026 8:00 PM;Sep 2, 2026 9:00 PM;55,003.33;55,013.29;9.95;47,238.88
Sep 2, 2026 9:00 PM;Sep 2, 2026 10:00 PM;52,816.19;52,826.54;10.35;44,525.46
Sep 2, 2026 10:00 PM;Sep 2, 2026 11:00 PM;49,329.49;49,340.48;10.99;40,396.39
Sep 2, 2026 11:00 PM;Sep 3, 2026 12:00 AM;45,614.06;45,631.67;17.61;36,515.92
Sep 3, 2026 12:00 AM;Sep 3, 2026 1:00 AM;43,563.19;43,642.13;78.95;32,555.35
Sep 3, 2026 1:00 AM;Sep 3, 2026 2:00 AM;41,715.12;41,868.70;153.57;28,827.66
Sep 3, 2026 2:00 AM;Sep 3, 2026 3:00 AM;39,915.19;39,938.24;23.05;25,699.71
Sep 3, 2026 3:00 AM;Sep 3, 2026 4:00 AM;40,355.40;40,583.77;228.36;25,919.84
Sep 3, 2026 4:00 AM;Sep 3, 2026 5:00 AM;42,331.59;42,562.09;230.51;26,517.26
Sep 3, 2026 5:00 AM;Sep 3, 2026 6:00 AM;44,954.16;44,974.25;20.09;27,204.75
Sep 3, 2026 6:00 AM;Sep 3, 2026 7:00 AM;50,754.67;50,772.88;18.20;28,669.76
Sep 3, 2026 7:00 AM;Sep 3, 2026 8:00 AM;54,594.29;54,617.72;23.43;25,461.05
Sep 3, 2026 8:00 AM;Sep 3, 2026 9:00 AM;56,872.47;57,263.79;391.31;18,653.64
Sep 3, 2026 9:00 AM;Sep 3, 2026 10:00 AM;58,469.51;60,876.57;2,407.05;11,198.34
Sep 3, 2026 10:00 AM;Sep 3, 2026 11:00 AM;59,299.82;63,270.85;3,971.03;3,970.14
Sep 3, 2026 11:00 AM;Sep 3, 2026 12:00 PM;59,798.97;64,414.29;4,615.32;-811.62
Sep 3, 2026 12:00 PM;Sep 3, 2026 1:00 PM;59,286.79;64,099.43;4,812.64;-3,316.13
Sep 3, 2026 1:00 PM;Sep 3, 2026 2:00 PM;60,212.83;65,061.07;4,848.24;-2,570.85
Sep 3, 2026 2:00 PM;Sep 3, 2026 3:00 PM;58,957.25;63,407.14;4,449.89;-3,384.10
Sep 3, 2026 3:00 PM;Sep 3, 2026 4:00 PM;58,834.33;62,748.49;3,914.16;-2,067.54
Sep 3, 2026 4:00 PM;Sep 3, 2026 5:00 PM;58,422.72;60,809.45;2,386.73;2,420.33
Sep 3, 2026 5:00 PM;Sep 3, 2026 6:00 PM;57,637.38;58,669.03;1,031.65;8,013.71
Sep 3, 2026 6:00 PM;Sep 3, 2026 7:00 PM;57,770.04;57,784.48;14.44;17,183.29
Sep 3, 2026 7:00 PM;Sep 3, 2026 8:00 PM;57,849.16;57,866.99;17.82;23,278.16
Sep 3, 2026 8:00 PM;Sep 3, 2026 9:00 PM;57,144.39;57,161.24;16.85;26,085.43
Sep 3, 2026 9:00 PM;Sep 3, 2026 10:00 PM;53,006.70;53,023.98;17.28;22,669.95
Sep 3, 2026 10:00 PM;Sep 3, 2026 11:00 PM;49,305.37;49,339.44;34.07;19,279.98
Sep 3, 2026 11:00 PM;Sep 4, 2026 12:00 AM;47,320.73;47,503.76;183.04;17,646.47
Sep 4, 2026 12:00 AM;Sep 4, 2026 1:00 AM;44,121.20;44,301.08;179.87;16,548.93
Sep 4, 2026 1:00 AM;Sep 4, 2026 2:00 AM;42,504.95;42,571.13;66.18;16,035.07
Sep 4, 2026 2:00 AM;Sep 4, 2026 3:00 AM;41,305.02;41,326.04;21.02;15,390.02
Sep 4, 2026 3:00 AM;Sep 4, 2026 4:00 AM;42,226.89;43,103.83;876.94;15,639.02
Sep 4, 2026 4:00 AM;Sep 4, 2026 5:00 AM;44,071.96;45,777.73;1,705.77;15,996.78
Sep 4, 2026 5:00 AM;Sep 4, 2026 6:00 AM;46,532.22;47,088.45;556.23;19,018.59
Sep 4, 2026 6:00 AM;Sep 4, 2026 7:00 AM;51,935.39;51,944.28;8.88;22,365.40
Sep 4, 2026 7:00 AM;Sep 4, 2026 8:00 AM;57,085.58;57,096.04;10.47;22,181.32
Sep 4, 2026 8:00 AM;Sep 4, 2026 9:00 AM;59,726.72;59,733.61;6.89;17,579.49
Sep 4, 2026 9:00 AM;Sep 4, 2026 10:00 AM;61,052.69;61,115.30;62.61;9,643.81
Sep 4, 2026 10:00 AM;Sep 4, 2026 11:00 AM;61,911.38;63,145.45;1,234.07;361.87
Sep 4, 2026 11:00 AM;Sep 4, 2026 12:00 PM;60,958.27;64,683.34;3,725.07;-7,403.46
Sep 4, 2026 12:00 PM;Sep 4, 2026 1:00 PM;61,488.46;65,436.34;3,947.88;-5,978.14
Sep 4, 2026 1:00 PM;Sep 4, 2026 2:00 PM;60,785.49;65,101.42;4,315.92;-6,610.86
Sep 4, 2026 2:00 PM;Sep 4, 2026 3:00 PM;59,672.58;63,561.87;3,889.29;-3,790.50
Sep 4, 2026 3:00 PM;Sep 4, 2026 4:00 PM;58,178.79;61,637.54;3,458.75;-3,059.07
Sep 4, 2026 4:00 PM;Sep 4, 2026 5:00 PM;57,426.46;60,741.21;3,314.75;-2,950.26
Sep 4, 2026 5:00 PM;Sep 4, 2026 6:00 PM;56,369.12;58,731.29;2,362.16;-1,257.94
Sep 4, 2026 6:00 PM;Sep 4, 2026 7:00 PM;55,606.61;56,601.16;994.55;3,582.39
Sep 4, 2026 7:00 PM;Sep 4, 2026 8:00 PM;54,037.69;54,089.77;52.08;11,291.05
Sep 4, 2026 8:00 PM;Sep 4, 2026 9:00 PM;53,128.15;53,131.58;3.43;12,372.43
Sep 4, 2026 9:00 PM;Sep 4, 2026 10:00 PM;50,106.72;50,121.51;14.79;10,818.00
Sep 4, 2026 10:00 PM;Sep 4, 2026 11:00 PM;47,222.55;47,320.54;97.99;9,959.45
Sep 4, 2026 11:00 PM;Sep 5, 2026 12:00 AM;45,205.72;45,554.71;349.00;8,804.47
Sep 5, 2026 12:00 AM;Sep 5, 2026 1:00 AM;42,202.39;42,307.44;105.05;8,920.74
Sep 5, 2026 1:00 AM;Sep 5, 2026 2:00 AM;41,278.67;41,935.67;657.00;9,325.77
Sep 5, 2026 2:00 AM;Sep 5, 2026 3:00 AM;40,453.85;40,881.83;427.98;9,823.67
Sep 5, 2026 3:00 AM;Sep 5, 2026 4:00 AM;40,414.75;41,609.94;1,195.19;9,939.05
Sep 5, 2026 4:00 AM;Sep 5, 2026 5:00 AM;39,471.53;41,052.97;1,581.45;8,890.74
Sep 5, 2026 5:00 AM;Sep 5, 2026 6:00 AM;40,058.79;41,628.11;1,569.32;9,397.48
Sep 5, 2026 6:00 AM;Sep 5, 2026 7:00 AM;41,110.72;42,735.68;1,624.95;9,556.94
Sep 5, 2026 7:00 AM;Sep 5, 2026 8:00 AM;43,107.99;43,879.22;771.22;11,306.54
Sep 5, 2026 8:00 AM;Sep 5, 2026 9:00 AM;47,359.60;49,415.42;2,055.82;9,605.32
