Start date;End date;Biomass [MWh] Calculated resolutions;Hydropower [MWh] Calculated resolutions;Wind offshore [MWh] Calculated resolutions;Wind onshore [MWh] Calculated resolutions;Photovoltaics [MWh] Calculated resolutions;Other renewable [MWh] Calculated resolutions;Nuclear [MWh] Calculated resolutions;Lignite [MWh] Calculated resolutions;Hard coal [MWh] Calculated resolutions;Fossil gas [MWh] Calculated resolutions;Hydro pumped storage [MWh] Calculated resolutions;Other conventional [MWh] Calculated resolutions
Aug 30, 2026 11:00 PM;Aug 31, 2026 12:00 AM;3,966.04;1,328.67;1,708.70;3,837.66;0.00;90.30;-;6,855.71;3,776.11;3,914.79;4,265.80;1,846.11
Aug 31, 2026 12:00 AM;Aug 31, 2026 1:00 AM;3,869.18;1,301.13;1,481.89;4,295.50;0.00;90.70;-;6,917.52;3,790.53;3,848.50;2,997.13;1,834.58
Aug 31, 2026 1:00 AM;Aug 31, 2026 2:00 AM;3,820.36;1,251.72;1,465.76;5,359.95;0.00;91.25;-;6,923.61;3,784.05;3,703.75;1,880.33;1,848.39
Aug 31, 2026 2:00 AM;Aug 31, 2026 3:00 AM;3,777.71;1,124.48;1,862.84;7,562.80;0.00;91.25;-;6,954.19;3,785.48;2,772.49;831.74;1,842.73
Aug 31, 2026 3:00 AM;Aug 31, 2026 4:00 AM;3,769.92;1,084.06;2,577.57;10,223.34;0.00;91.25;-;6,942.43;3,745.28;2,572.07;372.90;1,831.11
Aug 31, 2026 4:00 AM;Aug 31, 2026 5:00 AM;3,787.61;1,076.08;2,554.01;12,776.96;0.00;91.25;-;6,938.11;3,587.64;2,558.14;406.09;1,820.22
Aug 31, 2026 5:00 AM;Aug 31, 2026 6:00 AM;3,856.99;1,149.62;2,852.19;15,125.57;0.00;91.25;-;6,947.74;3,452.02;2,679.18;736.66;1,825.17
Aug 31, 2026 6:00 AM;Aug 31, 2026 7:00 AM;4,044.17;1,285.53;2,518.10;17,908.82;128.15;91.25;-;6,924.52;3,372.05;2,608.24;1,685.98;2,094.00
Aug 31, 2026 7:00 AM;Aug 31, 2026 8:00 AM;4,162.34;1,309.52;2,911.38;18,898.68;2,734.15;91.25;-;6,736.27;3,132.55;2,723.21;2,411.11;2,100.91
Aug 31, 2026 8:00 AM;Aug 31, 2026 9:00 AM;4,133.01;1,469.09;3,124.97;19,677.37;10,516.91;91.25;-;5,319.12;2,799.83;2,729.94;2,013.67;2,024.67
Aug 31, 2026 9:00 AM;Aug 31, 2026 10:00 AM;4,049.89;1,273.00;3,624.25;20,644.79;20,478.32;82.83;-;4,933.00;1,935.49;2,273.14;197.61;1,760.19
Aug 31, 2026 10:00 AM;Aug 31, 2026 11:00 AM;3,901.09;1,441.59;4,001.47;21,895.30;29,333.35;70.51;-;4,299.14;1,197.55;1,912.68;28.68;1,763.95
Aug 31, 2026 11:00 AM;Aug 31, 2026 12:00 PM;3,816.55;1,402.97;4,438.30;22,556.64;35,928.05;77.42;-;3,199.18;780.11;1,627.70;10.61;1,778.09
Aug 31, 2026 12:00 PM;Aug 31, 2026 1:00 PM;3,697.46;1,478.81;4,042.45;20,988.16;38,291.77;70.37;-;3,144.36;698.48;1,411.33;12.27;1,758.64
Aug 31, 2026 1:00 PM;Aug 31, 2026 2:00 PM;3,658.92;1,452.80;2,679.25;23,059.54;38,895.18;69.96;-;3,147.54;691.22;1,371.54;11.80;1,746.33
Aug 31, 2026 2:00 PM;Aug 31, 2026 3:00 PM;3,636.77;1,403.90;2,649.03;23,617.83;36,583.05;88.74;-;3,095.23;628.07;1,389.41;24.54;1,762.98
Aug 31, 2026 3:00 PM;Aug 31, 2026 4:00 PM;3,662.52;1,391.11;2,300.05;24,884.35;32,399.76;90.70;-;3,248.07;626.24;1,355.31;75.43;1,776.50
Aug 31, 2026 4:00 PM;Aug 31, 2026 5:00 PM;3,790.57;1,303.04;2,138.11;27,666.03;25,447.02;90.70;-;3,368.01;1,051.04;1,408.77;45.09;1,813.21
Aug 31, 2026 5:00 PM;Aug 31, 2026 6:00 PM;3,963.47;1,229.56;2,067.12;28,336.23;17,292.26;90.70;-;4,706.84;2,388.34;1,746.29;37.13;1,821.17
Aug 31, 2026 6:00 PM;Aug 31, 2026 7:00 PM;4,203.54;1,202.98;2,713.22;26,997.17;8,264.91;90.70;-;6,563.38;3,641.04;2,952.04;327.06;1,946.63
Aug 31, 2026 7:00 PM;Aug 31, 2026 8:00 PM;4,313.16;1,254.66;3,493.72;24,913.84;1,633.95;90.70;-;7,125.48;3,979.85;4,162.96;2,594.40;1,938.65
Aug 31, 2026 8:00 PM;Aug 31, 2026 9:00 PM;4,317.25;1,257.47;4,043.33;24,139.12;19.21;90.70;-;7,344.09;4,225.14;4,852.58;4,570.47;1,946.04
