,Start date,End date_x,Biomass [MWh] Calculated resolutions,Hydropower [MWh] Calculated resolutions,Wind offshore [MWh] Calculated resolutions,Wind onshore [MWh] Calculated resolutions,Photovoltaics [MWh] Calculated resolutions,Other renewable [MWh] Calculated resolutions,Nuclear [MWh] Calculated resolutions,Lignite [MWh] Calculated resolutions,Hard coal [MWh] Calculated resolutions,Fossil gas [MWh] Calculated resolutions,Hydro pumped storage [MWh] Calculated resolutions_x,Other conventional [MWh] Calculated resolutions,End date_y,grid load [MWh] Calculated resolutions,Grid load incl. hydro pumped storage [MWh] Calculated resolutions,Hydro pumped storage [MWh] Calculated resolutions_y,Residual load [MWh] Calculated resolutions,residual_calc,diff
0,2026-08-30 23:00:00,"Aug 31, 2026 12:00 AM",3966.04,1328.67,1708.7,3837.66,0.0,90.3,-,6855.71,3776.11,3914.79,4265.8,1846.11,"Aug 31, 2026 12:00 AM",40453.73,40465.06,11.33,34907.37,34907.37000000001,-7.275957614183426e-12
1,2026-08-31 00:00:00,"Aug 31, 2026 1:00 AM",3869.18,1301.13,1481.89,4295.5,0.0,90.7,-,6917.52,3790.53,3848.5,2997.13,1834.58,"Aug 31, 2026 1:00 AM",39226.49,39238.54,12.04,33449.11,33449.1,0.010000000002037268
2,2026-08-31 01:00:00,"Aug 31, 2026 2:00 AM",3820.36,1251.72,1465.76,5359.95,0.0,91.25,-,6923.61,3784.05,3703.75,1880.33,1848.39,"Aug 31, 2026 2:00 AM",38122.95,38142.39,19.44,31297.23,31297.239999999998,-0.00999999999839929
3,2026-08-31 02:00:00,"Aug 31, 2026 3:00 AM",3777.71,1124.48,1862.84,7562.8,0.0,91.25,-,6954.19,3785.48,2772.49,831.74,1842.73,"Aug 31, 2026 3:00 AM",37619.25,37738.99,119.74,28193.62,28193.61,0.00999999999839929
4,2026-08-31 03:00:00,"Aug 31, 2026 4:00 AM",3769.92,1084.06,2577.57,10223.34,0.0,91.25,-,6942.43,3745.28,2572.07,372.9,1831.11,"Aug 31, 2026 4:00 AM",38691.08,39346.87,655.79,25890.17,25890.170000000002,-3.637978807091713e-12
5,2026-08-31 04:00:00,"Aug 31, 2026 5:00 AM",3787.61,1076.08,2554.01,12776.96,0.0,91.25,-,6938.11,3587.64,2558.14,406.09,1820.22,"Aug 31, 2026 5:00 AM",39408.73,39824.28,415.56,24077.76,24077.760000000002,-3.637978807091713e-12
6,2026-08-31 05:00:00,"Aug 31, 2026 6:00 AM",3856.99,1149.62,2852.19,15125.57,0.0,91.25,-,6947.74,3452.02,2679.18,736.66,1825.17,"Aug 31, 2026 6:00 AM",42506.84,42674.31,167.47,24529.09,24529.079999999998,0.010000000002037268
7,2026-08-31 06:00:00,"Aug 31, 2026 7:00 AM",4044.17,1285.53,2518.1,17908.82,128.15,91.25,-,6924.52,3372.05,2608.24,1685.98,2094.0,"Aug 31, 2026 7:00 AM",49297.38,49310.49,13.11,28742.31,28742.309999999998,3.637978807091713e-12
8,2026-08-31 07:00:00,"Aug 31, 2026 8:00 AM",4162.34,1309.52,2911.38,18898.68,2734.15,91.25,-,6736.27,3132.55,2723.21,2411.11,2100.91,"Aug 31, 2026 8:00 AM",54686.04,54835.49,149.46,30141.83,30141.829999999998,3.637978807091713e-12
9,2026-08-31 08:00:00,"Aug 31, 2026 9:00 AM",4133.01,1469.09,3124.97,19677.37,10516.91,91.25,-,5319.12,2799.83,2729.94,2013.67,2024.67,"Aug 31, 2026 9:00 AM",58371.31,58547.07,175.76,25052.07,25052.059999999994,0.010000000005675247
