Start date,Residual load [MWh] Calculated resolutions
2026-08-31 11:00:00,-3569.66
2026-08-31 12:00:00,-3357.08
2026-08-31 13:00:00,-5914.93
2026-08-31 14:00:00,-6170.59
2026-08-31 15:00:00,-3754.11
2026-08-31 16:00:00,-309.33
2026-09-01 11:00:00,-2655.48
2026-09-01 12:00:00,-5660.54
2026-09-01 13:00:00,-5856.23
2026-09-01 14:00:00,-4978.8
2026-09-01 15:00:00,-1848.08
2026-09-03 11:00:00,-811.62
2026-09-03 12:00:00,-3316.13
2026-09-03 13:00:00,-2570.85
2026-09-03 14:00:00,-3384.1
2026-09-03 15:00:00,-2067.54
2026-09-04 11:00:00,-7403.46
2026-09-04 12:00:00,-5978.14
2026-09-04 13:00:00,-6610.86
2026-09-04 14:00:00,-3790.5
2026-09-04 15:00:00,-3059.07
2026-09-04 16:00:00,-2950.26
2026-09-04 17:00:00,-1257.94
2026-09-05 10:00:00,-952.85
2026-09-05 11:00:00,-3750.48
2026-09-05 12:00:00,-4745.65
2026-09-05 13:00:00,-6236.87
2026-09-05 14:00:00,-7653.78
2026-09-05 15:00:00,-4937.16
2026-09-05 16:00:00,-5428.94
2026-09-05 17:00:00,-6640.98
2026-09-06 10:00:00,-2786.3
2026-09-06 11:00:00,-5951.84
2026-09-06 12:00:00,-7842.68
2026-09-06 13:00:00,-8399.15
2026-09-06 14:00:00,-8345.97
2026-09-06 15:00:00,-4226.51
